country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,West Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",09-08-2026 14:00:00,22.554954,88.292568,CO,7,10,8
India,West Bengal,Howrah,"Ghusuri, Howrah - WBPCB",09-08-2026 14:00:00,22.611968,88.347422,NO2,47,66,56
India,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB",09-08-2026 14:00:00,22.55664,88.342674,NO2,16,26,19
India,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",09-08-2026 14:00:00,22.5367507,88.3638022,NH3,9,12,10
India,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",09-08-2026 14:00:00,22.49929,88.36917,PM2.5,29,55,38
India,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",09-08-2026 14:00:00,22.49929,88.36917,SO2,5,6,5
India,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",09-08-2026 14:00:00,22.627847,88.380669,PM2.5,10,37,20
India,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",09-08-2026 14:00:00,22.627847,88.380669,PM10,21,49,31
India,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",09-08-2026 14:00:00,22.627847,88.380669,NH3,3,5,4
India,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB",09-08-2026 14:00:00,22.5448082,88.3403691,PM10,78,88,82
India,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",09-08-2026 14:00:00,26.6879226,88.4152495,PM2.5,12,24,18
India,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",09-08-2026 14:00:00,26.6879226,88.4152495,OZONE,19,24,20
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",09-08-2026 14:00:00,25.586562,85.043586,CO,33,42,37
India,Bihar,Patna,"Muradpur, Patna - BSPCB",09-08-2026 14:00:00,25.619651,85.147382,OZONE,9,78,40
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",09-08-2026 14:00:00,25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",09-08-2026 14:00:00,25.892357,86.590325,SO2,16,18,17
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",09-08-2026 14:00:00,25.859655,85.77944,PM2.5,5,173,51
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,NO2,1,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,CO,1,13,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,OZONE,15,29,18
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,NO2,14,45,28
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,CO,21,36,27
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",09-08-2026 14:00:00,30.751462,76.762879,PM10,30,58,44
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",09-08-2026 14:00:00,30.751462,76.762879,CO,16,24,19
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",09-08-2026 14:00:00,25.859655,85.77944,PM2.5,5,173,51
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,NO2,1,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,CO,1,13,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,OZONE,15,29,18
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,NO2,14,45,28
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,CO,21,36,27
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-08-2026 14:00:00,28.5504249,77.2159377,PM2.5,56,98,77
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-08-2026 14:00:00,28.5504249,77.2159377,OZONE,21,40,29
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",09-08-2026 14:00:00,28.656756,77.227234,NO2,13,25,18
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",09-08-2026 14:00:00,28.656756,77.227234,CO,75,104,85
India,Delhi,Delhi,"ITO, Delhi - CPCB",09-08-2026 14:00:00,28.628624,77.24106,SO2,0,75,38
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-08-2026 14:00:00,28.674045,77.131023,PM10,6,188,95
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-08-2026 14:00:00,28.6514781,77.1473105,CO,26,48,36
India,Delhi,Delhi,"Pusa, Delhi - DPCC",09-08-2026 14:00:00,28.639652,77.146275,PM2.5,3,183,63
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-08-2026 14:00:00,28.5504249,77.2159377,PM2.5,56,98,77
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",09-08-2026 14:00:00,28.5504249,77.2159377,OZONE,21,40,29
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",09-08-2026 14:00:00,28.656756,77.227234,NO2,13,25,18
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",09-08-2026 14:00:00,28.656756,77.227234,CO,75,104,85
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",09-08-2026 14:00:00,26.11442,85.39813,PM2.5,17,53,29
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",09-08-2026 14:00:00,26.11442,85.39813,PM10,35,59,43
